"taxon","stamenNumber","filament_color","nectary_presence","InfType","CalShape","FlowMerosity","inflorescence_peduncle_length_mean","inflorescence_length_mean","CalLengthMean","ColLengthMean","FilLengthMean","rate"
"Mimosa polycephala",1,2,NA,2,NA,1,15.5,7.5,1.9,3,5.75,0.0078941814884266
"Mimosa venatorum",1,0,NA,2,NA,1,22.5,9,NA,3.5,8.25,0.00763264918048602
"Mimosa lanuginosa",1,2,NA,2,NA,1,25,11,3.65,5,6.75,0.010043467660489
"Mimosa radula",1,2,NA,2,NA,1,25,10,3.35,4.1,7,0.00796434264971541
"Mimosa virgula",1,2,NA,2,NA,1,25,NA,2.75,3.6,5.5,0.00759144804850178
"Mimosa pseudoradula",1,2,NA,2,NA,1,27.5,9.5,2.4,4,7.5,0.00635918953734988
"Mimosa cyclophylla",1,NA,NA,2,NA,1,60,10,2.75,4,6.5,0.0056552303639495
"Mimosa hirsutissima",1,2,NA,2,NA,1,70,7,2,2.85,6.25,0.0100550760484459
"Mimosa diversipila",1,2,NA,2,NA,1,10,6.5,0.1,2.65,6,0.00583618189312865
"Mimosa pogocephala",1,2,NA,2,NA,1,13.5,7,14.5,26.5,5.5,0.00441507978114578
"Mimosa congestifolia",1,2,NA,2,NA,1,35,6.75,NA,3.4,7,0.00380707937852697
"Mimosa hilariana",1,NA,NA,2,NA,1,NA,5,0.7,1.85,NA,0.00702856715340289
"Mimosa pedersenii",1,2,NA,2,2,1,37.5,5,1.45,1.95,4.25,0.00983959544674621
"Mimosa schleidenii",1,2,NA,2,2,1,105,7.5,0.9,2.75,4,0.00526507585321389
"Mimosa paupera",1,2,NA,2,NA,1,55,NA,0.15,2.1,NA,0.00610431538566095
"Mimosa distans",1,2,NA,2,NA,1,65,6.5,0.2,2.6,6.25,0.0102243329068734
"Mimosa dryandroides",1,2,NA,2,2,1,20,11,1.4,2.45,7.25,0.00489720322672898
"Mimosa skinneri",1,2,NA,2,NA,1,70,NA,0.2,2.05,5,0.0103081690530315
"Mimosa ursina",1,2,NA,2,1,1,15.5,NA,0.2,1.85,3,0.00713956713776277
