"taxon","habit","root_system","inflorescence_type","inflorescence_shape","flower_merosity","bisexual_flowers_presence","male_flowers_presence","heteromorphic_flower_presence","sterile_flower_presence","calyx_shape","stamen_count","filament_color","anther_gland_presence","stemonozone_presence","stamen_tube_presence","staminal_tube_presence","intrastaminal_nectary_presence","nectary_presence","height_mean","inflorescence_length_mean","inflorescence_width_mean","inflorescence_peduncle_length_mean","pedicel_length_mean","pedicel_width_mean","calyx_length_mean","calyx_lobe_length_mean","corolla_length_mean","corolla_lobe_length_mean","corolla_lobe_width_mean","filament_length_mean"
"Calliandra_haematocephala","shrubs",NA,"capitula","hemispherical","4 (5)-merous",NA,NA,NA,NA,"campanulate",NA,"crimson-scarlet",NA,NA,"filaments monocyclic, several of them separating from the tube below its orifice",NA,NA,"",300,NA,NA,NA,0.085,0.105,0.185,0.05,0.89,NA,NA,NA
"Calliandra_haematocephala_haematocephala",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Calliandra_haematocephala_boliviana","shmib",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Calliandra_erythrocephala","trees",NA,"capitula",NA,"4 (5)-merous",NA,NA,NA,NA,"campanulate subtumid",NA,NA,NA,NA,NA,NA,NA,"",400,NA,NA,4.25,0.06,0.1,0.245,0.03,1.2,0.19,NA,5
"Calliandra_rhodocephala",NA,NA,"capitula","globose in bud","4",NA,NA,"homomorphic",NA,"campanulate or turbinate-campanulate",NA,"red",NA,NA,NA,NA,"present","",400,NA,NA,2.55,0.05,0.06,0.3,0.03,0.84,0.34,NA,2.85
"Calliandra_trinervia","shrubs and trees",NA,"capitula",NA,"4 (5)-merous","few","many","present",NA,"campanulate",NA,"pink or cacmine, exceptionally white",NA,"present",NA,NA,"present","",1000,NA,NA,2.5,0.07,NA,0.225,0.0275,0.9,0.2,NA,3.85
"Calliandra_trinervia_trinervia",NA,NA,NA,NA,NA,NA,NA,NA,NA,"campanulate to cylindric",NA,NA,NA,NA,NA,NA,NA,"",1000,NA,NA,NA,NA,NA,0.26,NA,1.25,NA,NA,3.9
"Calliandra_trinervia_carbonaria","Trees",NA,"capitula",NA,NA,NA,NA,"yes",NA,"campanulate or hemispherical",NA,"red",NA,NA,NA,NA,NA,"",750,NA,NA,2.65,NA,NA,0.25,0.045,0.925,NA,NA,2950
"Calliandra_trinervia_peruicola","Arborescent",NA,NA,NA,"4",NA,NA,NA,NA,NA,"14","red",NA,NA,"present",NA,NA,"",400,NA,NA,NA,NA,NA,2.4,NA,0.66,NA,NA,0.7
"Calliandra_trinervia_pilosifolia","Trees",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"crimson or white",NA,NA,NA,NA,NA,"",450,NA,NA,NA,0.055,NA,0.31,NA,NA,NA,NA,4.1
"Calliandra_trinervia_paniculans","Trees",NA,"capitulis",NA,NA,NA,NA,NA,NA,NA,NA,"pink-carmine",NA,NA,NA,NA,NA,"",450,3,NA,3,NA,NA,0.28,0.045,0.7,NA,NA,NA
