"clade","taxon","habit","root_system","inflorescence_type","inflorescence_shape","flower_merosity","bisexual_flowers_presence","male_flowers_presence","heteromorphic_flower_presence","sterile_flower_presence","calyx_shape","stamen_count","filament_color","anther_gland_presence","stemonozone_presence","stamen_tube_presence","staminal_tube_presence","intrastaminal_nectary_presence","nectary_presence","height_mean","inflorescence_length_mean","inflorescence_width_mean","inflorescence_peduncle_length_mean","pedicel_length_mean","pedicel_width_mean","calyx_length_mean","calyx_lobe_length_mean","corolla_length_mean","corolla_lobe_length_mean","corolla_lobe_width_mean","filament_length_mean","na_percent"
41,"Jupunba_abbottii","trees",NA,"","","","","","","","",NA,"",NA,"","","","","",800,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,48.2758620689655
42,"Jupunba_cochleata","tree",NA,"capitula",NA,"5-merous",NA,NA,"yes",NA,"turbinate-campanulate, obtusely 5-angulate",NA,NA,NA,"present",NA,"present",NA,"",1400,NA,NA,NA,0.19,NA,0.21,0.0375,0.495,0.13,NA,NA,55.1724137931034
43,"Jupunba_adenophora","Macrophyllidious trees",NA,"","","","","","","","",NA,"",NA,"","","","","",2100,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,48.2758620689655
44,"Punjuba_lehmannii","Macrophyllidious srees",NA,"spikes",NA,"5-merous",NA,NA,NA,NA,"campanulate","40",NA,NA,"present",NA,NA,NA,"",950,9,NA,2.5,0.03,NA,0.135,0.05,0.575,0.115,0.0825,NA,48.2758620689655
45,"Pseudalbizzia_tomentosa","trees",NA,"capitula",NA,"5-merous",NA,NA,"yes",NA,"turbinate, broadly campanulate",NA,"white",NA,"present",NA,NA,NA,"",1400,NA,NA,1.9,0.055,0.045,0.22,0.04,0.45,0.145,NA,1.325,44.8275862068966
45,"Pseudalbizzia_decandra","Trees",NA,NA,NA,"5- or 6-merous",NA,NA,"TRUE",NA,"campanulate","10",NA,NA,"present",NA,NA,NA,"",2500,NA,NA,1.5,0.065,NA,0.11,0.015,0.37,0.165,0.09,1.4,48.2758620689655
45,"Pseudalbizzia_sinaloensis","trees",NA,"capitula","subhemispherical","5-merous",NA,NA,"homomorphic",NA,"turbinate-campanulate","36",NA,NA,NA,"present",NA,NA,"",2000,0.15,NA,2.25,NA,NA,0.2,0.05,0.38,0.095,0.07,0.525,41.3793103448276
46,"Abarema_levelii","trees",NA,"capitula",NA,"5-merous",NA,NA,"yes",NA,"campanulate","30","white",NA,"present",NA,"present",NA,"",900,7,NA,2.65,NA,NA,0.325,0.05,1.35,0.4,0.13,NA,41.3793103448276
47,"Pithecellobium_dulce","tree",NA,"capitula","subspherical","5-merous","present","present",NA,NA,"campanulate or turbinate-campanulate","26",NA,NA,"present",NA,NA,NA,"",1000,NA,NA,1.2,1.2,0.05,0.165,NA,NA,0.115,0.09,NA,44.8275862068966
48,"Pithecellobium_furcatum","trees and arborescent shrubs",NA,"spikes",NA,"S-merous",NA,NA,NA,NA,"cylindric or cylindro-campanulate",NA,NA,NA,"present",NA,NA,NA,"",750,0.8,NA,1.7,1.7,NA,0.6,0.105,1,0.21,0.16,3.85,48.2758620689655
49,"Havardia_albicans","trees",NA,"capitula",NA,"4-merous",NA,NA,NA,NA,"subhemispherical",NA,"white",NA,"present",NA,NA,NA,"",825,NA,NA,0.95,NA,NA,0.185,0.0325,NA,NA,NA,1.125,62.0689655172414
50,"Havardia_pallens","trees or bushy treelets",NA,"capitula","hemispherical","5(randomly 6)-merous",NA,NA,NA,NA,"shallowly campanulate or hemispherical",NA,NA,NA,"present",NA,NA,NA,"",550,NA,NA,NA,NA,NA,0.19,0.035,0.465,0.16,0.085,1.25,55.1724137931034
51,"Painteria_elachistophylla","shrubs","","capitula","","4-5","","","","","","28","","","","","","","",NA,NA,NA,3,NA,NA,1.2,0.225,4.7,1.4,0.95,10.5,17.2413793103448
52,"Gretheria_campylacantha","arborescent shrubs and trees",NA,"capitula",NA,"5-merous",NA,NA,NA,NA,"deeply campanulate",NA,NA,NA,"present",NA,NA,NA,"",800,NA,NA,3,NA,NA,0.295,0.06,0.5,0.09,NA,1.025,58.6206896551724
53,"Cojoba_graciliflora","shrubs, tree","","capitula","","5","","","","","","21","","","","","","","",800,NA,NA,53,NA,NA,3.75,0.5,12.5,1.375,NA,17.5,17.2413793103448
54,"Lysiloma_watsonii","tree","","capituliform, suborbicular","","","","","","","","","","","","","","","",NA,5.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,37.9310344827586
55,"Hesperalbizia_occidentalis","frees",NA,"capitula",NA,"5-merous",NA,NA,"present",NA,"campanulate",NA,"white",NA,"present",NA,NA,NA,"",2500,NA,NA,4.75,NA,NA,0.275,0.055,0.925,0.19,NA,2.2,51.7241379310345
56,"Calliandra_mollissima","shrubs and treefets",NA,"capitula",NA,"4 (5)-merous",NA,NA,"present",NA,"campanulate",NA,"white",NA,"present",NA,NA,"present","",300,1.9,NA,1.9,NA,NA,0.17,0.0275,0.485,0.11,NA,2.95,44.8275862068966
56,"Calliandra_brenesii","shrubs",NA,"capitula",NA,"3-4-merous",NA,NA,NA,NA,"campanulate",NA,"scarlet",NA,"present",NA,NA,"present","",250,NA,NA,2.65,0.06,0.05,0.29,0.06,0.975,0.26,NA,3.25,44.8275862068966
56,"Calliandra_longipes","subshrubs","rhizomes","capitula",NA,NA,NA,NA,"homomorsphic",NA,NA,NA,"whitish",NA,"present","present",NA,"no","",20,NA,NA,12,0.055,0.07,0.255,0.0825,1.09,0.26,NA,2.7,41.3793103448276
56,"Calliandra_californica","shrubs",NA,"capitula",NA,"5",NA,"some staminate only","homomorphic",NA,"campanulate or hemispherical","17(30)","red-crimson",NA,"present",NA,NA,NA,"",140,NA,NA,1.15,0.0375,0.045,0.145,NA,0.65,0.21,NA,NA,44.8275862068966
56,"Calliandra_caeciliae","frees",NA,"capitula",NA,"4 (5)-merous",NA,"staminate","variably homoor heteromorphic",NA,"campanulate or deeply campanulate",NA,"pallid proximally, carmine",NA,NA,NA,NA,NA,"",400,NA,NA,0.8,0.03,0.05,0.165,0.0175,NA,0.115,NA,2.55,48.2758620689655
56,"Calliandra_dysantha","subshrubs","xylopodium","capitula",NA,"5",NA,"yes","yes",NA,"turbinate",NA,"blood-red",NA,"present",NA,NA,"absent","",80,2.75,NA,NA,0.3,NA,0.575,0.17,1.2,NA,NA,4.5,41.3793103448276
56,"Calliandra_comosa",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,96.551724137931
