"taxon","habit","root_system","inflorescence_type","inflorescence_shape","flower_merosity","bisexual_flowers_presence","male_flowers_presence","heteromorphic_flower_presence","sterile_flower_presence","calyx_shape","stamen_count","filament_color","anther_gland_presence","stemonozone_presence","stamen_tube_presence","staminal_tube_presence","intrastaminal_nectary_presence","nectary_presence","height_mean","inflorescence_length_mean","inflorescence_width_mean","inflorescence_peduncle_length_mean","pedicel_length_mean","pedicel_width_mean","calyx_length_mean","calyx_lobe_length_mean","corolla_length_mean","corolla_lobe_length_mean","corolla_lobe_width_mean","filament_length_mean","Phylo_nitfix","NGS_acacia","flora_AUS_traits"
"Acacia_jennerae","Shrub or tree",NA,"raceme","globular","5-merous",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",400,2.5,NA,0.45,0.45,NA,NA,NA,NA,NA,NA,NA,1,0,1
"Acacia_microbotrya","shrub or tree",NA,"racemose","globular","5-merous",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",450,2.75,0.5,0.4,0.4,NA,NA,NA,NA,NA,NA,NA,0,1,1
"Acacia_amblyophylla","shrub or tree",NA,"racemose","globular","S-merous",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",400,2.25,NA,0.45,0.45,NA,NA,NA,NA,NA,NA,NA,0,0,1
"Acacia_brumalis","Shrub or tree",NA,"racemose","globular to slightly obloid","5-merous",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",250,2.3,0.65,0.4,0.4,NA,NA,NA,NA,NA,NA,NA,1,0,1
"Acacia_chamaeleon","shrub",NA,"racemes","globular","5-merous",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",250,2.6,0.625,0.5,NA,NA,NA,NA,NA,NA,NA,NA,1,0,1
"Acacia_chamaeleon","shrub or tree",NA,"flower-heads","obloid or spicate","5-merous",NA,NA,NA,NA,"cupular",NA,NA,NA,NA,NA,NA,NA,"",500,0.65,NA,0.9,NA,NA,0.08,NA,0.165,NA,NA,NA,1,0,1
"Acacia_harveyi","shrub",NA,"racemes","globular","5-merous",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",300,1.75,0.4,0.35,0.35,NA,NA,NA,NA,NA,NA,NA,1,0,1
"Acacia_chrysella","shrub",NA,"racemes","globular","5-merous",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",350,1.2,0.25,0.3,0.3,NA,NA,NA,NA,NA,NA,NA,0,0,1
"Acacia_aestivalis","Bushy shrub or tree",NA,"racemes","globular","S-merous",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",300,3,0.375,0.375,NA,NA,NA,NA,NA,NA,NA,NA,1,0,1
"Acacia_leptopetala","shrub",NA,"racemes","globular","5-merous",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",250,2,0.375,0.55,0.55,NA,NA,NA,NA,NA,NA,NA,1,0,1
